shortname,fullnames,PositiveDir,vartype,Watershed,Anthropogenic,ClimateChange,Fire,LandCover,Landscape,Natural,WaterUse,PhysBio,WaterQuality,InstreamBio
CATCHID,CATCHID,NA,ID,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WQRegion,WQRegion,NA,ID,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PSARegion,PSARegion,NA,ID,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARAPct2006NatLC.x,Natural Land Cover (Riparian Catchment),TRUE,exp,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Pct2006NatLC.x,Natural Land Cover (Catchment),TRUE,exp,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARAPct2006AgrLC.y,Agricultural Land Cover (Riparian Watershed),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARAPct2006NatLC.y,Natural Land Cover (Riparian Watershed),TRUE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BFI_MEAN.y,Mean Baseflow Index (Watershed),TRUE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CaCO3_WA.x,Calcium Carbonate (Catchment),TRUE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CaCO3_WA.y,Calcium Carbonate (Watershed),TRUE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DENS_DamCount.y,Dam Density (Watershed),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DENS_FishBarrier.x,Fish Barrier Density (Catchment),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DENS_L_CERC.y,Superfund Site Density (Watershed),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DENS_L_NPDES.y,Point Source Density (Watershed),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DENS_L_TRI.x,Toxic Release Inventory Density (Catchment),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DENS_L_TRI.y,Toxic Release Inventory Density (Watershed),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DENS_RD_XING.y,Road Crossing Density (Watershed),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dep2WatTbl_WA.y,Mean Depth to Water Table (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dom_SGEOL.x,Dominant Surficial Geology (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dom_SGEOL.y,Dominant Surficial Geology (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EC_WA.y,Mean Electrical Conductivity (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ELEVCM_MEA.x,Mean Elevation (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ELEVCM_MEA.y,Mean Elevation (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KfactWS_WA.y,Mean Soil Erodibility (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L_POPDENS,Population Density (Catchment),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L_ROADDENS,Road Density (Catchment),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
N_ROADDENS,Road Density (Watershed),FALSE,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MEAN_IEOF.x,Mean Infiltration-Excess Overland Flow (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
