"","CATCHID","SINUOSITY.x","STRM_DENS.x","ELEVCM_MEA.x","SLP_PERC.x","MEAN_RCHRG.x","MEAN_IEOF.x","RF30_MEAN.x","NHDAREAWTMAP.x","NHDAREAWTMAT.x","NHDMAXELEVSMO.x","NHDMINELEVSMO.x","NHDSLOPE.x","L_POPDENS","SO.x","OrgMatter_WA.x","CaCO3_WA.x","SurfText_Maj.x","NLCD_CN.x","DENS_RD_XING.x","DENS_FishBarrier.x","DENS_L_TRI.x","StorageRatio.x","BFI_MEAN.y","SINUOSITY.y","STRM_DENS.y","ELEVCM_MEA.y","SLP_PERC.y","MEAN_RCHRG.y","MEAN_IEOF.y","SATOF_MEAN.y","NHDAREAWTMAP.y","NHDAREAWTMAT.y","NHDMAXELEVSMO.y","NHDSLOPE.y","N_POPDENSC","Silt_WA.y","OrgMatter_WA.y","KfactWS_WA.y","EC_WA.y","Dep2WatTbl_WA.y","CaCO3_WA.y","SurfText_Maj.y","NLCD_CN.y","DENS_RD_XING.y","DENS_DamCount.y","DENS_L_TRI.y","DENS_L_NPDES.y","DENS_L_CERC.y","StorageRatio.y","NHDCUMDRAINAG.x","PCT_ADRAIN.x","PCT_ADRAIN.y","Dom_SGEOL.x","Dom_SGEOL.y","sedrisk.x","PCT_IRRIG.x","PCT_IRRIG.y","basf_PC.x","frccMN.x","is_PC.x","prcp_PC.x","runo_PC.x","snwe_PC.x","fireMN.x","TotalUse","tave_PC.x","tmax_PC.x","tmin_PC.x","Pct2006NatLC.x","Pct2006AgrLC.x","ARAPct2006NatLC.x","Pct2006NatLC.y","Pct2006UrbLC.y","Pct2006AgrLC.y","ARAPct2006NatLC.y","ARAPct2006AgrLC.y","L_ROADDENS","N_ROADDENS","Ksat_WA","WQRegion","PSARegion","LgFldFlow_p.x","SmFldDur_p.x","SmFldDate_p.x","SmFldFreq.x","HiFall_p.x","CRAM_Overall_Score.x","CSCI.x","N_SUMMER","pH_SUMMER.x","SpecCond_SUMMER.x","TEMP_SUMMER.x","TURB_SUMMER.x","PHAB.MMI.Score"
"4",1668199,1.27721,0.000493034,252.22,20.96,205.1,2.51,1160.92,1026.448,144.1471,198.58,129.21,0.03304,30.1731,1,2.91,0,"gravelly loam",59.6847895,0.939048992,0,0,0,31.68,1.27721,0.000493034,252.22,20.96,205.1,2.51,3,1026.448,144.1471,198.58,0.03304,30.173,25,2.91,0.24,0,201,0,"gravelly loam",59.6847895,0.939048992,0,0,0,0,0,4.258,0,0,"PCT_SGEOL_21.x","PCT_SGEOL_21.y",16.40091606,0.000512385,0.000512385,57.91469011,1.858552632,0.269259633,43.42758282,25.98616221,0,1.00045829,0.000932219,0.009075204,0.009648811,0.008461624,0.9206685,0.027924688,0.805135951,0.9206685,0.051406812,0.027924688,0.805135951,0.074018127,9018.03,9018.03,22.1828,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1668211,1.15577,0.000505855,287.33,31.94,190.8,1.01,1124.77,1021.92,143.9,194.13,129.21,0.04285,4.5237,1,2.91,0,"gravelly loam",59.27802826,0,0.334410826,0,0,31.07,1.15577,0.000505855,287.33,31.94,190.8,1.01,3,1021.92,143.9,194.13,0.04285,4.524,25,2.91,0.24,0,201,0,"gravelly loam",59.27802826,0,0,0,0,0,0,2.995,0.009029948,0.009029948,"PCT_SGEOL_21.x","PCT_SGEOL_21.y",25.46276175,0.034868381,0.034868381,57.4362431,1.778947368,0.202902679,43.44440937,26.63177322,0,1.010122304,0.034688793,0.009062731,0.009521355,0.008570701,0.961827472,0.017433123,0.971486762,0.961827473,0.020739405,0.017433123,0.971486762,0,1713.55,1713.55,22.1828,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1668225,1.28424,0.000598095,320.47,28.67,179.5,2.37,1045.18,1098.234,141.7448,311.37,94.69,0.04852,8.5733,1,2.841087189,0,"gravelly loam",62.04761331,0.401658406,0.669430677,0,0,31,1.28424,0.000598095,320.47,28.67,179.5,2.37,1.63,1098.234,141.7448,311.37,0.04852,8.573,25.61194576,2.841087189,0.24220521,0.055130249,197.4165338,0,"gravelly loam",62.04761331,0.401658406,0,0,0,0,0,7.465,0.033406465,0.033406465,"PCT_SGEOL_21.x","PCT_SGEOL_21.y",50.57619932,0.049506152,0.049506152,56.12613127,1.911816578,0.349202912,43.48985046,28.27765441,0,1.035744277,0.126990906,0.009030503,0.009198294,0.00884601,0.825940212,0.12295082,0.661313869,0.825940212,0.051108969,0.12295082,0.661313869,0.264233577,12389.21,12389.21,21.60328737,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1668249,1.02802,0.000797156,385.24,32.01,155.6,1.51,1223.95,1087.667,140.9108,404.53,79.66,0.05885,6.34,1,2.829706745,0,"gravelly loam",60.47614715,0.144417963,0.86650778,0,0,30.17,1.02802,0.000797156,385.24,32.01,155.6,1.51,1.75,1087.667,140.9108,404.53,0.05885,6.34,25.71300411,2.829706745,0.242569384,0.064234604,196.8247507,0,"gravelly loam",60.47614715,0.144417963,0,0,0,0,0,6.925,0.01689075,0.01689075,"PCT_SGEOL_21.x","PCT_SGEOL_21.y",33.8356012,0.027204402,0.027204402,54.90677839,1.895,0.280233858,43.59952491,29.19062099,0,1.064030547,0.065058329,0.00901515,0.009259563,0.008749137,0.946834785,0.043286104,0.80408971,0.946834785,0.009879111,0.043286104,0.80408971,0.164907652,2700.05,2700.05,21.50758511,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,0.971064281,NA,NA,NA,NA,NA,0.942154406
"8",1668265,1.05697,0.001242521,569.41,26.3,151.1,1,1280.48,1090.028,140.7039,530.64,379.46,0.12587,4.4227,1,2.91,0,"gravelly loam",59.62580645,0,0,0,0,30,1.05697,0.001242521,569.41,26.3,151.1,1,2,1090.028,140.7039,530.64,0.12587,4.423,25,2.91,0.24,0,201,0,"gravelly loam",59.62580645,0,0,0,0,0,0,0.967,0.078824753,0.078824753,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",19.56584861,0.117403465,0.117403465,54.61160715,1.851851852,0.937437395,43.71709687,29.09946594,0,1.062224055,0.037833597,0.009023728,0.009353374,0.008667789,0.948387097,0,0.97260274,0.948387097,0.051612903,0,0.97260274,0,1404.47,1404.47,22.1828,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1668289,1.39574,0.000411484,443.15,24.66,126.1,1.09,1115.71,1160.146,139.7014,346.58,193.91,0.06116,6.3599,1,2.840116426,0,"gravelly loam",60.35860535,0.164792446,0.164792446,0,0,26.31,1.39574,0.000411484,443.15,24.66,126.1,1.09,2,1160.146,139.7014,346.58,0.06116,6.36,27.02519746,2.840116426,0.25854054,0.042785862,201,0,"gravelly loam",60.35860535,0.164792446,0,0,0,0,0,6.066,0.041132903,0.041132903,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",13.25605652,0.061178108,0.061178108,53.33332191,1.890547264,0.147237384,44.05841702,29.04876363,0,1.079655817,0.123508393,0.009042167,0.009743987,0.008294037,0.951186944,0,0.919842313,0.951186944,0.048813056,0,0.919842313,0,8412.33,8412.33,19.96756201,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
"10",1668343,1.02706,0.000780262,308.12,25.98,138.8,1.4,1140.8,1081.17844,140.99201,379.46,73.92,0.07589,17.7387,1,2.805184114,0,"gravelly loam",60.35116766,0.581269914,0.581269914,0,0,28.29920368,1.033932376,0.000853309,349.4094701,26.03056692,140.743666,1.336791351,2,1082.576862,140.9464824,530.64,0.08737383,15.637,25.78368406,2.821747291,0.242824086,0.070602168,196.4108591,0,"gravelly loam",60.2365449,0.489416698,0,0,0,0,0,6.127,0.025616739,0.034024756,"PCT_SGEOL_21.x","PCT_SGEOL_45.y",27.69984752,0.038203694,0.05071897,54.05033648,1.827067669,0.181741843,43.73319901,29.45607968,0,1.083573472,0.067389138,0.009011942,0.009461722,0.008528959,0.926280934,0.053502963,0.806930693,0.929774185,0.025177477,0.045048338,0.839095745,0.130319149,5848.82,7253.29,21.30136548,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1668915,1.12247,0.00140999,554.24,30.17,113,2.94,1431.27,1206.217,139.3419,571.34,371.03,0.15649,0.6541,1,2.743289513,0,"gravelly loam",62.50396826,0,0,0,0,24.08,1.12247,0.00140999,554.24,30.17,113,2.94,2,1206.217,139.3419,571.34,0.15649,0.654,29.83120186,2.743289513,0.284229313,0.102067645,201,0,"gravelly loam",62.50396826,0,0,0,0,0,0,0.908,0.105389211,0.105389211,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",42.00473789,0.156785531,0.156785531,52.78305135,1.358974359,0.865268564,44.34949104,28.90039862,0,1.052814197,0.047436117,0.00907317,0.00996072,0.008129182,0.919642857,0,0.996875,0.919642857,0.080357143,0,0.996875,0,2099.67,2099.67,16.89824769,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1668917,1.39712,0.000602931,392.88,40.68,108.4,2.84,1255.91,1221.00048,139.2493,371.03,143.85,0.09142,4.4288,1,2.474901943,0,"silt loam",78.87117904,0,0.485897446,0,0,23.4247687,1.303746295,0.000748977,422.079847,38.77810119,109.23242,2.858096088,2,1218.325249,139.266057,571.34,0.113542072,3.747,36.20149343,2.523469593,0.342548883,0.236651269,201,0,"silt loam",75.90935423,0,0,0,0,0,0,5.03,0.048768992,0.059015037,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",46.53473872,0.072327803,0.087611347,52.62974187,1.849275362,0.278297046,44.35347053,28.72500692,0,1.065931101,0.099044048,0.009069316,0.010020771,0.008058554,0.994759824,0,0.989949749,0.981166593,0.018833407,0,0.991935483,0,720.34,2820.01,8.390635572,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1668939,1.09406,0.000849935,513.31,42.06,105.6,3,1518.36,1276.76,138.9,562.53,157.94,0.19564,1.1779,1,2.531158398,0,"silt loam",79.28121526,0,0.820420782,0,0,23,1.09406,0.000849935,513.31,42.06,105.6,3,2,1276.76,138.9,562.53,0.19564,1.178,35.97867501,2.531158398,0.340508997,0.231943838,201,0,"silt loam",79.28121526,0,0,0,0,0,0,2.434,0.023857574,0.023857574,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",67.33024924,0.0352819,0.0352819,52.08623361,1.656652361,0.846887663,44.6028471,28.48655194,0,1.048769395,0.028614295,0.00909392,0.010244066,0.007873937,0.967024824,0,0.981324278,0.967024824,0.032975176,0,0.981324278,0,2129.14,2129.14,10.17390778,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1668983,1.16805,0.000631222,578.51,36.08,102.9,3,1419.89,1270.938,139.2633,542.28,195.65,0.11439,4.701,1,3.071985266,0,"gravelly loam",58.78452314,0,0.208335235,0,0,23,1.16805,0.000631222,578.51,36.08,102.9,3,2.3,1270.938,139.2633,542.28,0.11439,4.701,27.07211969,3.071985266,0.233779025,0.255727234,187.6145016,0,"gravelly loam",58.78452314,0,0,0,0,0,0,4.801,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",36.66412781,0,0,51.4080837,1.615866388,1.478261947,44.90614597,28.22337955,0,1.028702384,0,0.009123571,0.010523529,0.007640445,0.999999999,0,1,1,0,0,1,0,1768.19,1768.19,17.31451806,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1668991,1.16715,0.000365134,454.31,39.69,103.1,2.51,1330.29,1260.57561,139.63421,195.65,149.63,0.02401,6.149,2,2.835526203,0,"gravelly loam",78.62418747,0.380772936,0.571159404,0,0,23,1.182576293,0.000519869,511.5465303,36.57239502,101.6074486,2.873419772,2.742819128,1272.79205,139.6809294,589.62,0.074447456,4.183,29.71971789,2.749759858,0.253218672,0.357621307,187.3953626,0,"gravelly loam",73.29129958,0.295091785,0,0,0,0,0,20.326,0,0.000220158,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",37.28883375,0,0.005484438,50.97898234,1.936416185,0.944181782,45.05542133,28.79709616,0,1.010296508,0,0.009135476,0.010598272,0.007584905,0.97194663,0,0.818525521,0.983905236,0.016094764,0,0.933268859,0,5794.9,14694.64,13.93771004,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1669023,1.1425,0.000160794,282.11,22.91,109.8,1.76,1280.93,1219.62998,140.3914,149.63,127.33,0.00846,117.9983,2,1.950512619,1.038613006,"clay loam",62.29732476,0.24415965,0.549359212,0,0,23.68709516,1.173379158,0.000361996,409.1464485,30.47674441,105.2627218,2.376469335,2.804049338,1249.059131,139.9980346,589.62,0.063426375,54.96,32.06520047,2.393050311,0.282292453,0.450411589,173.3213307,0.463393485,"gravelly loam",68.38674816,0.299573059,0,0,0,0,0,36.706,0.001746306,0.000901052,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",36.69341893,0.074874303,0.036443286,50.45724977,1.79047619,0.709927617,45.32412987,29.24802078,0,0.983552185,0.227706112,0.009145052,0.010831188,0.007357717,0.704845089,0.066633707,0.528279538,0.859367567,0.110902758,0.029729674,0.722196514,0.064939071,34362.09,49089.64,15.45888381,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1669053,1.04358,0.000691242,238.86,18.27,101.5,1.73,1095.49,1120.03993,143.6762,353.39,130.89,0.0705,44.8985,1,1.58,0,"clay loam",79.20587076,0.218692283,0,0,0,24.02263066,1.038526185,0.000663562,259.1081617,16.48308651,104.1131533,1.92183264,2.534838927,1119.106456,143.7553196,358.6,0.063783227,40.113,35.7,1.58,0.32,0.4,201,0,"clay loam",79.2288269,0.185658962,0,0,0,0,0,5.381,0.000801321,0.000680282,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",9.080870671,0.019962002,0.016946755,49.14973681,1.70989011,1.247589404,45.69485383,29.26497596,0,0.959884154,0.012692636,0.00913525,0.011128105,0.007025616,0.941686367,0,0.97322348,0.94303333,0.056966671,0,0.976452118,0,7334.17,7566.68,8.9139,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1669069,1.03266,0.000698636,248.72,15,98.1,3,1084.95,1137.9,143.1,289.87,124.54,0.0656,21.7617,1,1.58,0,"clay loam",79.51125,0,0,0,0,23.01,1.03266,0.000698636,248.72,15,98.1,3,2.48,1137.9,143.1,289.87,0.0656,21.762,35.7,1.58,0.32,0.4,201,0,"clay loam",79.51125,0,0,0,0,0,0,3.606,0.000255624,0.000255624,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",8.874787004,0.006367942,0.006367942,48.6177158,1.701117318,2.031433176,45.76716503,28.97392549,0,0.952789141,0.008283767,0.009108198,0.011157631,0.006939903,0.93225,0,0.96898263,0.93225,0.06775,0,0.96898263,0,8619.49,8619.49,8.9139,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1669089,1.06337,0.000192845,245.4,17.28,95.9,3,1111.97,1137.13753,143.20789,113.72,91.04,0.01758,15.6437,2,1.58,0,"clay loam",80.00592672,0.598220406,0.149555102,0,0,23.3325528,1.042747664,0.000537384,242.2040006,16.07372022,99.09215569,2.642268036,2.470667763,1130.30452,143.3800564,358.6,0.048314668,26.703,35.7,1.58,0.32,0.4,201,0,"clay loam",79.73886142,0.409990992,0,0,0,0,0,17.082,0.0035633,0.002189443,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",11.8131932,0.088766636,0.054541986,47.55344729,1.716549296,1.275023504,45.90828569,29.48025604,0,0.960358597,0.122539875,0.009092303,0.011160236,0.006905324,0.946794182,0,0.780748664,0.940585818,0.059414184,0,0.931763903,0,13419.29,32480.2,8.9139,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1669105,1.26498,0.000275186,278.98,24.14,93.1,3.23,1037.38,1168.70112,141.67232,91.04,64.39,0.00706,57.9292,3,1.58,0,"clay loam",79.49277931,0.291828685,0.656614542,0,0,23.36948263,1.126554739,0.000428559,317.5920717,24.78279148,100.752449,2.498554916,2.588378784,1191.226736,141.2245615,589.62,0.045660001,44.304,34.36552924,1.945227033,0.306225137,0.46100927,181.7406011,0.370042007,"clay loam",73.77081109,0.442318799,0,0.011954562,0,0,0,83.651,0.001240498,0.001735949,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",16.06193701,0.039267811,0.051232638,47.19349449,1.781050955,0.891825267,46.03291025,29.68093906,0,0.965676441,0.099082011,0.009080216,0.011194303,0.006845541,0.931272153,0.00223185,0.710526316,0.862071613,0.105731221,0.032197147,0.719471947,0.056765677,33946,158959.81,8.9139,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1669157,1.05526,0.00142491,461.79,23.74,91.4,4,1618.33,1155.139,140.6852,498.73,275.94,0.14003,8.938,1,1.58,0,"clay loam",81.04746581,0,1.786295039,0,0,23,1.05526,0.00142491,461.79,23.74,91.4,4,2,1155.139,140.6852,498.73,0.14003,8.938,35.7,1.58,0.32,0.4,201,0,"clay loam",81.04746581,0,0,0,0,0,0,1.117,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",36.24609857,0,0,43.65585226,1.45045045,1.071010165,46.2232194,28.2630258,0,0.96535765,0,0.008992422,0.01119615,0.006666003,0.977473854,0,0.988980717,0.977473855,0.022526146,0,0.988980717,0,878.71,878.71,8.9139,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1669163,1.06678,0.000418233,623.76,16.3,87,4,1218.7,1326.182,140.4308,572.28,526.01,0.03609,2.9498,1,1.58,0,"clay loam",80.46302816,0,0,0,0.854391095,22.16,1.06678,0.000418233,623.76,16.3,87,4,1.74,1326.182,140.4308,572.28,0.03609,2.95,35.7,1.58,0.32,0.4,201,0,"clay loam",80.46302816,0,0.326235073,0,0,0,0.854391095,3.064,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",14.30447957,0,0,45.31789171,1.578397213,2.400283575,46.34440331,30.04852578,0,0.971745293,0,0.009016623,0.011250503,0.006657607,0.966255867,0,1.000000001,0.966255867,0.033744131,0,1.000000001,0,2727.39,2727.39,8.9139,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1669171,1.15259,0.001095126,142.05,11.88,93.1,4,1058.39,957.24482,141.81978,275.94,40.8,0.04642,13.2672,1,1.559073741,0.361466776,"clay loam",82.22859921,0.865560315,1.298340472,0,0,22.99195027,1.129324971,0.001159443,204.4080164,14.19302332,92.76845366,4,2,995.8395799,141.598506,498.73,0.068795828,12.425,34.33098566,1.563154932,0.312247885,0.643253646,187.5741358,0.290970901,"clay loam",81.998246,0.696752458,0,0,0,0,0,5.742,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",7.844942541,0.154025571,0.123986386,41.06164538,1.274358974,1.125338173,46.1105566,25.96372236,0,0.95587865,0.109740475,0.008959191,0.01112753,0.006671197,0.901556421,0.000583658,0.847110007,0.916362389,0.083167782,0.000469828,0.873225153,0,7006.78,7885.49,7.915301955,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1669225,1.56513,0.000305702,51.67,5.38,94.2,2.53,675.12,768.70625,142.47756,40.8,12.95,0.00514,66.4736,1,1.381998389,0.463435529,"fine sandy loam",83.64854834,0.338715473,0.225810316,0.056452579,0,23.03579151,1.32482528,0.000514667,89.05479451,7.537112377,93.84960874,2.889803337,2,824.300352,142.2623991,498.73,0.04024009,53.241,28.78747272,1.426339021,0.308769143,1.03944104,146.1428513,0.421222367,"fine sandy loam",83.24461345,0.4263501,0,0.04263501,0,0,0,23.454,1.02e-06,7.7e-07,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",2.622847644,0.429216409,0.354507034,36.55133627,1.173306773,0.669179941,46.00628656,23.19484441,0,0.954764998,1.068705809,0.008917068,0.011006602,0.006713473,0.703055879,0.056846494,0.632306726,0.755265672,0.201686822,0.043047506,0.765646926,0.008139209,54361.49,62246.98,7.032902256,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,0.347387063,NA,NA,NA,NA,NA,NA
"26",1669257,1.13104,0.000528063,42.98,7.4,96.1,1.83,597.01,675.8,142.0729,72.12,9.88,0.0127,186.3412,1,2.008909712,0.398169192,"fine sandy loam",83.71661822,0.538974243,0,0,0,23.62,1.13104,0.000528063,42.98,7.4,96.1,1.83,1.84,675.8,142.0729,72.12,0.0127,186.341,29.20736154,2.008909712,0.330747316,1.120370844,115.7694669,0.398169192,"fine sandy loam",83.71661822,0.538974243,0,0,0,0,0,9.278,1.95e-06,1.95e-06,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",2.499756438,0.385723924,0.385723924,34.13797748,1.001605136,1.109725472,45.81746388,20.09609219,0,0.966892007,0.525765811,0.00888409,0.010828965,0.006832991,0.825387597,0,0.894645941,0.825387597,0.174612404,0,0.894645941,0,25547.57,25547.57,7.306289123,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
