CATCHID,SINUOSITY.x,STRM_DENS.x,ELEVCM_MEA.x,SLP_PERC.x,MEAN_RCHRG.x,MEAN_IEOF.x,RF30_MEAN.x,NHDAREAWTMAP.x,NHDAREAWTMAT.x,NHDMAXELEVSMO.x,NHDMINELEVSMO.x,NHDSLOPE.x,L_POPDENS,SO.x,OrgMatter_WA.x,CaCO3_WA.x,SurfText_Maj.x,NLCD_CN.x,DENS_RD_XING.x,DENS_FishBarrier.x,DENS_L_TRI.x,StorageRatio.x,BFI_MEAN.y,SINUOSITY.y,STRM_DENS.y,ELEVCM_MEA.y,SLP_PERC.y,MEAN_RCHRG.y,MEAN_IEOF.y,SATOF_MEAN.y,NHDAREAWTMAP.y,NHDAREAWTMAT.y,NHDMAXELEVSMO.y,NHDSLOPE.y,N_POPDENSC,Silt_WA.y,OrgMatter_WA.y,KfactWS_WA.y,EC_WA.y,Dep2WatTbl_WA.y,CaCO3_WA.y,SurfText_Maj.y,NLCD_CN.y,DENS_RD_XING.y,DENS_DamCount.y,DENS_L_TRI.y,DENS_L_NPDES.y,DENS_L_CERC.y,StorageRatio.y,NHDCUMDRAINAG.x,PCT_ADRAIN.x,PCT_ADRAIN.y,Dom_SGEOL.x,Dom_SGEOL.y,sedrisk.x,PCT_IRRIG.x,PCT_IRRIG.y,basf_PC.x,frccMN.x,is_PC.x,prcp_PC.x,runo_PC.x,snwe_PC.x,fireMN.x,TotalUse,tave_PC.x,tmax_PC.x,tmin_PC.x,Pct2006NatLC.x,Pct2006AgrLC.x,ARAPct2006NatLC.x,Pct2006NatLC.y,Pct2006UrbLC.y,Pct2006AgrLC.y,ARAPct2006NatLC.y,ARAPct2006AgrLC.y,L_ROADDENS,N_ROADDENS,Ksat_WA,WQRegion,PSARegion,LgFldFlow_p.x,SmFldDur_p.x,SmFldDate_p.x,SmFldFreq.x,HiFall_p.x,CRAM_Overall_Score.x,CSCI.x,N_SUMMER,pH_SUMMER.x,SpecCond_SUMMER.x,TEMP_SUMMER.x,TURB_SUMMER.x,PHAB.MMI.Score
1668163,1.22117,0.001460873,934.81,46.1,273.7,1.31,1305.72,1249.456,137.619,1111.35,487.99,0.20324,3.3875,1,3.788159472,0,unweathered bedrock,78.22193769,0,0,0,0,35.46,1.22117,0.001460873,934.81,46.1,273.7,1.31,2.61,1249.456,137.619,1111.35,0.20324,3.388,31.18295955,3.788159472,0.024940537,0,201,0,unweathered bedrock,78.22193769,0,0,0,0,0,0,2.1,0,0,PCT_SGEOL_21.x,PCT_SGEOL_21.y,5.466246871,0,0,57.75075037,1.764423077,0,43.37956821,26.83845808,0,1.038630533,0,0.009074024,0.009611884,0.008498286,0.999999999,0,1,0.999999999,0,0,1,0,0,0,13.75453006,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668169,1.14282,0.000797737,419.98,36.17,233.9,2,1131.85,1230.50064,138.13107,483.39,185.23,0.12807,3.4158,1,3.102010427,0,gravelly loam,60.58709081,0,0,0,0,31.00714206,1.121080696,0.00089078,435.4979035,36.95979243,234.1440203,2,4,1231.454066,138.1054139,599.96,0.150258522,3.361,26.68094756,3.148743277,0.181532258,0,201,0,gravelly loam,61.61410464,0,0,0,0,0,0,3.101,0,0,PCT_SGEOL_21.x,PCT_SGEOL_45.y,33.93464826,0,0,58.05276545,1.323024055,0,43.42265731,25.79550389,0,1.008490378,0,0.00907886,0.009686178,0.008429649,1,0,1.000000001,1,0,0,1,0,0,0,20.33995054,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668189,1.16435,0.000591987,169.38,15.65,215.5,3,1055.9,1025.59375,143.45532,141.8,112.04,0.00872,219.042,1,2.259786357,0,clay loam,65.44085938,0.867849774,0.34713991,0,0,31.71161712,1.153669729,0.00036775,191.028796,19.30912854,219.6914416,2.97485135,3.02514865,1025.618584,143.4489406,145.13,0.00906637,136.322,28.80768327,2.481206839,0.253721381,0.343034529,178.7027556,0,clay loam,64.05433564,0.504095607,0,0,0,0,0,9.916,0.049572273,0.028794344,PCT_SGEOL_21.x,PCT_SGEOL_45.y,39.18232182,0.076175983,0.044247264,57.88343437,1.86875,0.289845388,43.42869352,26.02904635,0,1.001147136,0.146051547,0.00907438,0.009640389,0.008468831,0.6296875,0.27421875,0.300277393,0.7456269,0.080760274,0.173612827,0.385216346,0.447716346,8986.33,11132.12,16.7149194,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668199,1.27721,0.000493034,252.22,20.96,205.1,2.51,1160.92,1026.448,144.1471,198.58,129.21,0.03304,30.1731,1,2.91,0,gravelly loam,59.6847895,0.939048992,0,0,0,31.68,1.27721,0.000493034,252.22,20.96,205.1,2.51,3,1026.448,144.1471,198.58,0.03304,30.173,25,2.91,0.24,0,201,0,gravelly loam,59.6847895,0.939048992,0,0,0,0,0,4.258,0,0,PCT_SGEOL_21.x,PCT_SGEOL_21.y,16.40091606,0.000512385,0.000512385,57.91469011,1.858552632,0.269259633,43.42758282,25.98616221,0,1.00045829,0.000932219,0.009075204,0.009648811,0.008461624,0.9206685,0.027924688,0.805135951,0.9206685,0.051406812,0.027924688,0.805135951,0.074018127,9018.03,9018.03,22.1828,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668211,1.15577,0.000505855,287.33,31.94,190.8,1.01,1124.77,1021.92,143.9,194.13,129.21,0.04285,4.5237,1,2.91,0,gravelly loam,59.27802826,0,0.334410826,0,0,31.07,1.15577,0.000505855,287.33,31.94,190.8,1.01,3,1021.92,143.9,194.13,0.04285,4.524,25,2.91,0.24,0,201,0,gravelly loam,59.27802826,0,0,0,0,0,0,2.995,0.009029948,0.009029948,PCT_SGEOL_21.x,PCT_SGEOL_21.y,25.46276175,0.034868381,0.034868381,57.4362431,1.778947368,0.202902679,43.44440937,26.63177322,0,1.010122304,0.034688793,0.009062731,0.009521355,0.008570701,0.961827472,0.017433123,0.971486762,0.961827473,0.020739405,0.017433123,0.971486762,0,1713.55,1713.55,22.1828,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668225,1.28424,0.000598095,320.47,28.67,179.5,2.37,1045.18,1098.234,141.7448,311.37,94.69,0.04852,8.5733,1,2.841087189,0,gravelly loam,62.04761331,0.401658406,0.669430677,0,0,31,1.28424,0.000598095,320.47,28.67,179.5,2.37,1.63,1098.234,141.7448,311.37,0.04852,8.573,25.61194576,2.841087189,0.24220521,0.055130249,197.4165338,0,gravelly loam,62.04761331,0.401658406,0,0,0,0,0,7.465,0.033406465,0.033406465,PCT_SGEOL_21.x,PCT_SGEOL_21.y,50.57619932,0.049506152,0.049506152,56.12613127,1.911816578,0.349202912,43.48985046,28.27765441,0,1.035744277,0.126990906,0.009030503,0.009198294,0.00884601,0.825940212,0.12295082,0.661313869,0.825940212,0.051108969,0.12295082,0.661313869,0.264233577,12389.21,12389.21,21.60328737,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668249,1.02802,0.000797156,385.24,32.01,155.6,1.51,1223.95,1087.667,140.9108,404.53,79.66,0.05885,6.34,1,2.829706745,0,gravelly loam,60.47614715,0.144417963,0.86650778,0,0,30.17,1.02802,0.000797156,385.24,32.01,155.6,1.51,1.75,1087.667,140.9108,404.53,0.05885,6.34,25.71300411,2.829706745,0.242569384,0.064234604,196.8247507,0,gravelly loam,60.47614715,0.144417963,0,0,0,0,0,6.925,0.01689075,0.01689075,PCT_SGEOL_21.x,PCT_SGEOL_21.y,33.8356012,0.027204402,0.027204402,54.90677839,1.895,0.280233858,43.59952491,29.19062099,0,1.064030547,0.065058329,0.00901515,0.009259563,0.008749137,0.946834785,0.043286104,0.80408971,0.946834785,0.009879111,0.043286104,0.80408971,0.164907652,2700.05,2700.05,21.50758511,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,0.971064281,NA,NA,NA,NA,NA,0.942154406
1668265,1.05697,0.001242521,569.41,26.3,151.1,1,1280.48,1090.028,140.7039,530.64,379.46,0.12587,4.4227,1,2.91,0,gravelly loam,59.62580645,0,0,0,0,30,1.05697,0.001242521,569.41,26.3,151.1,1,2,1090.028,140.7039,530.64,0.12587,4.423,25,2.91,0.24,0,201,0,gravelly loam,59.62580645,0,0,0,0,0,0,0.967,0.078824753,0.078824753,PCT_SGEOL_45.x,PCT_SGEOL_45.y,19.56584861,0.117403465,0.117403465,54.61160715,1.851851852,0.937437395,43.71709687,29.09946594,0,1.062224055,0.037833597,0.009023728,0.009353374,0.008667789,0.948387097,0,0.97260274,0.948387097,0.051612903,0,0.97260274,0,1404.47,1404.47,22.1828,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668289,1.39574,0.000411484,443.15,24.66,126.1,1.09,1115.71,1160.146,139.7014,346.58,193.91,0.06116,6.3599,1,2.840116426,0,gravelly loam,60.35860535,0.164792446,0.164792446,0,0,26.31,1.39574,0.000411484,443.15,24.66,126.1,1.09,2,1160.146,139.7014,346.58,0.06116,6.36,27.02519746,2.840116426,0.25854054,0.042785862,201,0,gravelly loam,60.35860535,0.164792446,0,0,0,0,0,6.066,0.041132903,0.041132903,PCT_SGEOL_45.x,PCT_SGEOL_45.y,13.25605652,0.061178108,0.061178108,53.33332191,1.890547264,0.147237384,44.05841702,29.04876363,0,1.079655817,0.123508393,0.009042167,0.009743987,0.008294037,0.951186944,0,0.919842313,0.951186944,0.048813056,0,0.919842313,0,8412.33,8412.33,19.96756201,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
1668343,1.02706,0.000780262,308.12,25.98,138.8,1.4,1140.8,1081.17844,140.99201,379.46,73.92,0.07589,17.7387,1,2.805184114,0,gravelly loam,60.35116766,0.581269914,0.581269914,0,0,28.29920368,1.033932376,0.000853309,349.4094701,26.03056692,140.743666,1.336791351,2,1082.576862,140.9464824,530.64,0.08737383,15.637,25.78368406,2.821747291,0.242824086,0.070602168,196.4108591,0,gravelly loam,60.2365449,0.489416698,0,0,0,0,0,6.127,0.025616739,0.034024756,PCT_SGEOL_21.x,PCT_SGEOL_45.y,27.69984752,0.038203694,0.05071897,54.05033648,1.827067669,0.181741843,43.73319901,29.45607968,0,1.083573472,0.067389138,0.009011942,0.009461722,0.008528959,0.926280934,0.053502963,0.806930693,0.929774185,0.025177477,0.045048338,0.839095745,0.130319149,5848.82,7253.29,21.30136548,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668369,1,5.70E-05,221.03,24.38,225.5,2.94,1042.68,1025.653,143.4401,145.13,141.8,0.01405,21.6771,1,2.788054437,0,gravelly loam,62.13287167,0,0.240535669,0,0,31.7,1,5.70E-05,221.03,24.38,225.5,2.94,3.06,1025.653,143.4401,145.13,0.01405,21.677,26.0828766,2.788054437,0.243902258,0.09755645,194.6588307,0,gravelly loam,62.13287167,0,0,0,0,0,0,4.156,0,0,PCT_SGEOL_45.x,PCT_SGEOL_45.y,22.72807917,0,0,58.38399792,1.550151976,0.231822874,43.41071222,25.32991193,0,0.99089496,0.000309877,0.009087739,0.009776913,0.008352015,0.906297339,0.034191733,0.936936937,0.906297339,0.059510928,0.034191733,0.936936937,0.063063063,2145.79,2145.79,21.15731586,San Francisco Bay,Coastal Chaparral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
